country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,15.5M,15.2M,15M,16.3M,15.8M,16.9M,16.1M,15.2M,15.6M,15.9M,15.5M,18.3M,23.4M,19.2M,18.2M,22.2M,22.6M,23.9M,25M,27.9M,26.8M,24.8M,26.7M,28.7M,28.6M,27.1M,26.3M,26.8M,23.8M,25.2M,26.3M,26.9M,28.1M,30.1M,28.9M,30.6M,31.8M,32M,31.9M,30M,30.1M,29.2M,30.3M,29.4M,23.5M,24.8M,22.2M,21.1M,20.8M,19.6M,19.9M,18.7M,18.6M,15.5M,13.3M
Switzerland,1.28M,1.05M,889k,841k,760k,653k,441k,373k,354k,305k,229k,215k,251k,226k,233k,342k,505k,447k,390k,501k,503k,433k,403k,344k,356k,356k,302k,209k,175k,177k,190k,142k,110k,91k,94.6k,138k,144k,133k,136k,129k,144k,156k,174k,157k,148k,148k,137k,123k,133k,136k,124k,114k,110k,102k,102k
Chile,1.17M,1.2M,1.2M,1.2M,1.2M,1.28M,1.24M,1.02M,1.11M,1.05M,842k,850k,915k,892k,987k,1.09M,1.09M,725k,869k,1.17M,1.17M,1.11M,1.15M,1.6M,2.16M,2.6M,2.14M,1.85M,1.87M,2.2M,2.37M,3.29M,4.28M,4.03M,4.16M,3.21M,2.52M,2.54M,2.43M,2.81M,2.76M,3.44M,4.09M,4.37M,3.99M,4.49M,5.76M,6.72M,7.55M,7.61M,7.31M,7.42M,7.71M,7.44M,6.8M
China,114M,122M,109M,108M,130M,166M,191M,202M,205M,203M,229M,234M,258M,283M,293M,304M,303M,320M,343M,373M,407M,426M,462M,496M,520M,527M,553M,579M,617M,657M,665M,696M,682M,677M,696M,706M,743M,814M,970M,1.13B,1.32B,1.45B,1.58B,1.61B,1.69B,1.75B,1.9B,1.93B,1.97B,1.95B,1.91B,1.89B,1.89B,1.91B,1.95B
Colombia,2.01M,2.01M,2.21M,2.01M,2.15M,2.24M,1.74M,1.81M,1.85M,2.23M,2.27M,2.22M,2.27M,2.3M,2.32M,2.43M,2.48M,2.58M,2.84M,2.96M,3.05M,3.02M,3.79M,3.02M,3.5M,1.6M,2.01M,3.36M,3.52M,4.03M,3.61M,2.8M,3.31M,3.15M,2.52M,2.7M,2.66M,2.19M,2.43M,2.12M,1.34M,3.81M,3.36M,4.44M,4.08M,4.81M,3.89M,4.69M,5.05M,5.35M,4.97M,5.46M,4.16M,3.78M,6.16M
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93k,57k,121k,73k,65k,61k,45k,83k,70k,96k,107k,100k,76k,14k,24k,36k,53k,44k,44k,44k,44k,30.2k,27.4k,22.4k,11.9k,14.7k,6890,240,240,2220,3330,444,2980,13.6k,16.7k
Czech Republic,35.3M,35.2M,34.1M,35.3M,36.6M,37.1M,38.7M,38.1M,37.3M,37.1M,37.9M,38.7M,39.5M,39.7M,39.7M,38.5M,38.3M,38.6M,38.4M,39.1M,38.2M,38.1M,37.6M,38.1M,36.6M,29.7M,27.2M,25.4M,24.8M,23.4M,23.5M,23.4M,22M,20.4M,18.6M,21.2M,20.8M,20.4M,20.8M,20.8M,20.1M,20.8M,20.8M,19.7M,18.2M,18.8M,18.5M,17.7M,16.9M,16.4M,16.3M,16.4M,15.6M,15.5M,14.4M
Germany,161M,150M,145M,147M,151M,149M,143M,139M,140M,140M,127M,134M,129M,131M,138M,141M,144M,140M,145M,150M,149M,141M,140M,139M,141M,132M,116M,104M,98.5M,95.6M,90.6M,90.2M,87.4M,85.3M,82.2M,85.3M,85.5M,85.7M,87.2M,85M,81.3M,84.5M,86.7M,80.1M,71.7M,77.1M,78.3M,80.5M,82.8M,79.6M,78.7M,76.5M,71.9M,69.4M,55M
Denmark,3.7M,4.19M,3.59M,3.22M,2.94M,2.35M,1.44M,1.47M,2.25M,2.13M,2.05M,2.85M,3.28M,3.61M,4.31M,6.15M,4.91M,5.93M,5.66M,5.97M,7.27M,7.36M,7.22M,6.76M,5.55M,6.09M,8.26M,6.88M,7.22M,7.76M,6.49M,8.92M,6.63M,5.63M,4.73M,3.97M,4.2M,4.2M,5.73M,4.39M,3.71M,5.63M,4.65M,4.1M,4.03M,3.83M,3.24M,2.47M,3.24M,2.63M,1.73M,2.09M,1.57M,1.6M,928k
Algeria,70k,68k,52k,55k,70k,83k,23k,20k,23k,19k,24k,47k,61k,31k,72k,64k,45k,835k,745k,826k,862k,885k,1.06M,995k,841k,659k,680k,808k,658k,620k,620k,292k,512k,548k,587k,485k,560k,735k,606k,723k,594k,882k,757k,757k,486k,310k,275k,292k,158k,179k,133k,49k,182k,500k,500k
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,403k,274k,422k,439k,474k,437k,359k,317k,276k,483k,577k,564k,643k,616k,684k,550k,709k,733k,695k,705k,745k,749k,792k,866k,886k,759k,781k,800k,964k,1.04M,694k,954k,808k,795k,722k,869k,765k,820k,851k,870k,851k,851k,774k,696k,619k,464k,441k,391k,386k,389k,821k,1.25M,1.21M,2.15M,1.99M
Spain,9.7M,8.97M,9.12M,9.23M,9.29M,9.81M,9.86M,10.1M,9.89M,9.58M,10.6M,10.3M,11M,9.47M,10.8M,12.4M,15.3M,17M,17.9M,18.2M,18M,18.6M,18.1M,15.7M,19.3M,19.2M,20M,20.4M,18.4M,18.9M,19M,16M,18.4M,17.5M,19.6M,20.9M,19.2M,21.6M,20.1M,21M,20.5M,17.9M,20M,13.5M,9.43M,6.9M,12.8M,15.5M,11.4M,11.6M,13.7M,10.5M,13.4M,11.1M,5.02M
Estonia,,,,,,,,,,,,,,,,,,,,,5.81M,5.88M,5.93M,5.65M,5.85M,5.57M,4.98M,4.36M,3.2M,3.23M,3.15M,3.28M,3.24M,2.94M,2.68M,2.83M,2.79M,2.72M,3.15M,3.23M,3.09M,2.93M,3.53M,3.36M,3.05M,3.91M,4.17M,3.9M,4.19M,4.23M,3.82M,3.86M,4.26M,4.76M,3.37M
